transaction_id,suspect_id,date,amount,transaction_type
T001,S01,2026-08-01,2450,Purchase
T002,S02,2026-08-01,3200,Purchase
T003,S03,2026-08-02,1850,Purchase
T004,S04,2026-08-02,7600,Purchase
T005,S05,2026-08-02,2900,Purchase
T006,S01,2026-08-03,4100,Purchase
T007,S02,2026-08-03,2750,Purchase
T008,S03,2026-08-04,5200,Purchase
T009,S04,2026-08-04,6800,Purchase
T010,S05,2026-08-04,3600,Purchase
T011,S01,2026-08-05,1950,Purchase
T012,S02,2026-08-05,4300,Purchase
T013,S03,2026-08-06,2400,Purchase
T014,S04,2026-08-06,8900,Purchase
T015,S05,2026-08-06,3100,Purchase
T016,S01,2026-08-07,3600,Purchase
T017,S02,2026-08-07,2900,Purchase
T018,S03,2026-08-08,4700,Purchase
T019,S04,2026-08-08,5400,Purchase
T020,S05,2026-08-08,2750,Purchase
T021,S01,2026-08-09,2800,Purchase
T022,S02,2026-08-09,3500,Purchase
T023,S03,2026-08-10,6100,Purchase
T024,S04,2026-08-10,7200,Purchase
T025,S05,2026-08-10,3900,Purchase
T026,S01,2026-08-11,2200,Purchase
T027,S02,2026-08-11,4800,Purchase
T028,S03,2026-08-12,3300,Purchase
T029,S04,2026-08-12,6500,Purchase
T030,S05,2026-08-12,4200,Purchase
T031,S01,2026-08-13,3100,Purchase
T032,S02,2026-08-13,2600,Purchase
T033,S03,2026-08-14,5100,Purchase
T034,S04,2026-08-14,7800,Purchase
T035,S05,2026-08-14,3400,Purchase
T036,S01,2026-08-15,2900,Purchase
T037,S02,2026-08-15,3100,Purchase
T038,S03,2026-08-16,4500,Purchase
T039,S04,2026-08-16,5900,Purchase
T040,S05,2026-08-16,2800,Purchase
T041,S01,2026-08-17,3700,Purchase
T042,S02,2026-08-17,4200,Purchase
T043,S03,2026-08-18,3900,Purchase
T044,S04,2026-08-18,8100,Purchase
T045,S05,2026-08-18,3500,Purchase
T046,S01,2026-08-19,2400,Purchase
T047,S02,2026-08-19,2900,Purchase
T048,S03,2026-08-20,5300,Purchase
T049,S04,2026-08-20,6200,Purchase
T050,S05,2026-08-20,3100,Purchase
T051,S01,2026-08-21,2700,Purchase
T052,S02,2026-08-21,3600,Purchase
T053,S03,2026-08-22,4100,Purchase
T054,S04,2026-08-22,7400,Purchase
T055,S05,2026-08-22,3800,Purchase
T056,S01,2026-08-23,3300,Purchase
T057,S02,2026-08-23,4500,Purchase
T058,S03,2026-08-24,2900,Purchase
T059,S04,2026-08-24,6700,Purchase
T060,S05,2026-08-24,3600,Purchase
T061,S01,2026-08-25,2100,Purchase
T062,S02,2026-08-25,3900,Purchase
T063,S03,2026-08-26,4800,Purchase
T064,S04,2026-08-26,5500,Purchase
T065,S05,2026-08-26,3200,Purchase
T066,S01,2026-08-27,2800,Purchase
T067,S02,2026-08-27,3400,Purchase
T068,S03,2026-08-28,4200,Purchase
T069,S04,2026-08-28,6900,Purchase
T070,S05,2026-08-28,3700,Purchase
T071,S01,2026-08-29,3100,Purchase
T072,S02,2026-08-29,2800,Purchase
T073,S03,2026-08-30,5100,Purchase
T074,S04,2026-08-30,6300,Purchase
T075,S05,2026-08-30,2950,Purchase
T076,S01,2026-08-31,2500,Purchase
T077,S02,2026-08-31,4100,Purchase
T078,S03,2026-08-31,3600,Purchase
T079,S04,2026-08-31,5800,Purchase
T080,S05,2026-08-31,4300,Purchase
T081,S01,2026-09-01,2900,Purchase
T082,S02,2026-09-01,3700,Purchase
T083,S03,2026-09-01,4600,Purchase
T084,S04,2026-09-01,7100,Purchase
T085,S05,2026-09-01,3200,Purchase
T086,S01,2026-09-02,3100,Purchase
T087,S02,2026-09-02,2900,Purchase
T088,S03,2026-09-02,4300,Purchase
T089,S04,2026-09-02,6800,Purchase
T090,S05,2026-09-02,3500,Purchase
T091,S01,2026-09-03,2700,Purchase
T092,S02,2026-09-03,3300,Purchase
T093,S03,2026-09-03,4900,Purchase
T094,S04,2026-09-03,7600,Purchase
T095,S05,2026-09-03,3000,Purchase
T096,S01,2026-09-04,3400,Purchase
T097,S02,2026-09-04,3800,Purchase
T098,S03,2026-09-04,4500,Purchase
T099,S04,2026-09-04,6200,Purchase
T100,S05,2026-09-04,4100,Purchase
T101,S01,2026-09-05,2600,Purchase
T102,S02,2026-09-05,3100,Purchase
T103,S03,2026-09-05,5700,Purchase
T104,S04,2026-09-05,7300,Purchase
T105,S05,2026-09-05,2900,Purchase
T106,S01,2026-09-06,3000,Purchase
T107,S02,2026-09-06,3600,Purchase
T108,S03,2026-09-06,4400,Purchase
T109,S04,2026-09-06,6100,Purchase
T110,S05,2026-09-06,3700,Purchase
T111,S01,2026-09-07,2800,Purchase
T112,S02,2026-09-07,4200,Purchase
T113,S03,2026-09-07,5000,Purchase
T114,S04,2026-09-07,6700,Purchase
T115,S05,2026-09-07,3300,Purchase
T116,S01,2026-09-08,2500,Purchase
T117,S02,2026-09-08,3500,Purchase
T118,S03,2026-09-08,4600,Purchase
T119,S04,2026-09-08,5900,Purchase
T120,S05,2026-09-08,3100,Purchase
T121,S01,2026-09-09,2900,Purchase
T122,S02,2026-09-09,3800,Purchase
T123,S03,2026-09-09,4300,Purchase
T124,S04,2026-09-09,7200,Purchase
T125,S05,2026-09-09,3600,Purchase
T126,S01,2026-09-10,2700,Purchase
T127,S02,2026-09-10,3200,Purchase
T128,S03,2026-09-10,4900,Purchase
T129,S04,2026-09-10,6400,Purchase
T130,S05,2026-09-10,3400,Purchase
T131,S01,2026-09-11,3100,Purchase
T132,S02,2026-09-11,2900,Purchase
T133,S03,2026-09-11,5200,Purchase
T134,S04,2026-09-11,7800,Purchase
T135,S05,2026-09-11,3700,Purchase
T136,S05,2026-09-12,48750,Purchase
T137,S01,2026-09-12,2800,Purchase
T138,S02,2026-09-12,3400,Purchase
T139,S03,2026-09-12,4600,Purchase
T140,S04,2026-09-12,6900,Purchase
T141,S01,2026-09-13,3100,Purchase
T142,S02,2026-09-13,3600,Purchase
T143,S03,2026-09-13,4200,Purchase
T144,S05,2026-09-13,3900,Purchase
T145,S04,2026-09-13,21400,Purchase
T146,S04,2026-09-13,19800,Purchase
T147,S04,2026-09-13,17650,Purchase
T148,S04,2026-09-13,15200,Purchase
T149,S04,2026-09-13,12800,Purchase
T150,S01,2026-09-13,2800,Purchase
T151,S02,2026-09-13,3300,Purchase
T152,S03,2026-09-13,16400,Purchase
T153,S05,2026-09-13,3400,Purchase
T154,S01,2026-09-13,2950,Purchase
T155,S02,2026-09-13,4100,Purchase
T156,S04,2026-09-13,11950,Purchase
T157,S04,2026-09-13,10850,Purchase
T158,S04,2026-09-13,9750,Purchase
T159,S04,2026-09-13,8850,Purchase
T160,S05,2026-09-13,4100,Purchase
T161,S01,2026-09-13,3250,Purchase
T162,S02,2026-09-13,3700,Purchase
T163,S03,2026-09-13,4500,Purchase
T164,S05,2026-09-13,3600,Purchase
T165,S04,2026-09-13,8200,Purchase
T166,S04,2026-09-13,7900,Purchase
T167,S04,2026-09-13,7600,Purchase
T168,S01,2026-09-13,3000,Purchase
T169,S02,2026-09-13,3500,Purchase
T170,S05,2026-09-13,3800,Purchase
